Model,Period,Window,R2_H1,R2_H10,R2_Decay%
SNN,2008_Financial_Crisis,120,0.8631,0.6159,28.65
SNN,2008_Financial_Crisis,252,0.8064,0.7288,9.63
SNN,2010_Euro_Debt_Crisis,30,0.9202,0.7523,18.25
SNN,2010_Euro_Debt_Crisis,60,0.8472,0.7011,17.24
SNN,2010_Euro_Debt_Crisis,90,0.755,0.5205,31.06
SNN,2010_Euro_Debt_Crisis,120,-0.6001,0.583,
SNN,2010_Euro_Debt_Crisis,252,-1.2682,-0.3544,
SNN,2015_China_Crash,30,0.777,-0.0942,112.13
SNN,2015_China_Crash,60,0.5929,-0.0123,102.08
SNN,2015_China_Crash,90,0.0992,-0.2905,392.95
SNN,2015_China_Crash,120,-0.6858,-0.1836,
SNN,2015_China_Crash,252,-0.9929,0.1974,
SNN,2018_Trade_War,30,0.58,-1.3186,327.35
SNN,2018_Trade_War,60,0.4573,-0.0551,112.06
SNN,2018_Trade_War,90,0.1485,-0.2701,281.86
SNN,2018_Trade_War,120,0.3337,-0.5634,268.84
SNN,2018_Trade_War,252,0.407,-0.4701,215.5
SNN,2020_COVID_Crash,30,0.0819,-0.6505,893.98
SNN,2020_COVID_Crash,60,-0.0651,-1.3379,
SNN,2020_COVID_Crash,90,-0.3254,-1.0131,
SNN,2020_COVID_Crash,120,-0.2191,-0.7384,
SNN,2020_COVID_Crash,252,-0.0239,-1.4635,
SNN,2022_Rate_Hike,30,0.6129,0.408,33.43
SNN,2022_Rate_Hike,60,0.4775,0.0132,97.24
SNN,2022_Rate_Hike,90,0.5162,0.4738,8.2
SNN,2022_Rate_Hike,120,0.2635,0.169,35.87
SNN,2022_Rate_Hike,252,-0.1892,-0.1464,
SNN,2023_AI_Wave,30,-0.6056,-2.1582,
SNN,2023_AI_Wave,60,-3.1843,-1.7138,
SNN,2023_AI_Wave,90,-5.3697,-0.888,
SNN,2023_AI_Wave,120,-0.2717,0.1381,
SNN,2023_AI_Wave,252,0.4283,-3.3504,882.22
