Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples,Seed
SP500,60,1,SNN,2010_Euro_Debt_Crisis,0.0054065883159637,0.8471832871437073,0.0069472987075769,568,2620
SP500,60,1,Ensemble,2010_Euro_Debt_Crisis,0.0047869253903627,0.8959319591522217,0.0057330965781501,568,2620
SP500,60,5,ARIMA,2010_Euro_Debt_Crisis,0.0045502035689424,0.8810221217194887,0.0061300448107463,568,2620
SP500,60,5,Bi-RNN,2010_Euro_Debt_Crisis,0.0047107599675655,0.8854382634162903,0.0060281022551259,564,2620
SP500,60,5,Bi-GRU,2010_Euro_Debt_Crisis,0.0056916289031505,0.8260166049003601,0.0074287333649537,564,2620
SP500,60,5,Bi-LSTM,2010_Euro_Debt_Crisis,0.0049852523952722,0.8737789392471313,0.0063274226122631,564,2620
SP500,60,5,PatchTST,2010_Euro_Debt_Crisis,0.0196587238460779,-0.5849344730377197,0.0224215963745915,564,2620
SP500,60,5,Mamba,2010_Euro_Debt_Crisis,0.0049640862271189,0.8778461813926697,0.006224642417973,564,2620
SP500,60,5,SNN,2010_Euro_Debt_Crisis,0.0069916560314595,0.7414385676383972,0.0090561318818415,564,2620
SP500,60,5,Ensemble,2010_Euro_Debt_Crisis,0.0063416259363293,0.8153451085090637,0.0076531681164699,564,2620
SP500,60,10,ARIMA,2010_Euro_Debt_Crisis,0.0059944596866273,0.809446917854137,0.00775779909023,568,2620
SP500,60,10,Bi-RNN,2010_Euro_Debt_Crisis,0.0055970265530049,0.829472005367279,0.0073790731260358,559,2620
SP500,60,10,Bi-GRU,2010_Euro_Debt_Crisis,0.0059142224490642,0.817939281463623,0.0076245132566756,559,2620
SP500,60,10,Bi-LSTM,2010_Euro_Debt_Crisis,0.0060733179561793,0.8056110143661499,0.0078784323034046,559,2620
SP500,60,10,PatchTST,2010_Euro_Debt_Crisis,0.0197477769106626,-0.5679513216018677,0.0223753714259249,559,2620
SP500,60,10,Mamba,2010_Euro_Debt_Crisis,0.0057555842213332,0.8186757564544678,0.0076090759080965,559,2620
SP500,60,10,SNN,2010_Euro_Debt_Crisis,0.007687316276133,0.7011206150054932,0.0097690412387225,559,2620
SP500,60,10,Ensemble,2010_Euro_Debt_Crisis,0.0067891338840126,0.7795020937919617,0.0083908547918502,559,2620
SP500,90,1,ARIMA,2010_Euro_Debt_Crisis,0.0020383664954208,0.9745075074991696,0.0028375053521398,568,2620
SP500,90,1,Bi-RNN,2010_Euro_Debt_Crisis,0.0022202318068593,0.9713408946990968,0.0030085825014328,568,2620
SP500,90,1,Bi-GRU,2010_Euro_Debt_Crisis,0.002217962173745,0.9727024435997008,0.0029362467575145,568,2620
SP500,90,1,Bi-LSTM,2010_Euro_Debt_Crisis,0.0025425506755709,0.9654369950294496,0.0033039706387104,568,2620
SP500,90,1,PatchTST,2010_Euro_Debt_Crisis,0.0136192366480827,0.0957482457160949,0.0168995540723867,568,2620
SP500,90,1,Mamba,2010_Euro_Debt_Crisis,0.0023211590014398,0.9685832858085632,0.0031500033020981,568,2620
SP500,90,1,SNN,2010_Euro_Debt_Crisis,0.0069656833074986,0.7550036907196045,0.0087965082710204,568,2620
SP500,90,1,Ensemble,2010_Euro_Debt_Crisis,0.0041242372244596,0.914947271347046,0.0051829223933457,568,2620
SP500,90,5,ARIMA,2010_Euro_Debt_Crisis,0.0045220765238499,0.8836209494880479,0.0060627260418367,568,2620
SP500,90,5,Bi-RNN,2010_Euro_Debt_Crisis,0.0046174321323633,0.8884626626968384,0.0059479999676106,564,2620
SP500,90,5,Bi-GRU,2010_Euro_Debt_Crisis,0.0048671700060367,0.8671382069587708,0.0064917366563665,564,2620
