Model,Period,Window,Horizon,Model_R2,ARIMA_R2,Delta_R2,Beats_ARIMA
Bi-RNN,2008_Financial_Crisis,30,1,0.9865,0.9883,-0.0018,No
Bi-GRU,2008_Financial_Crisis,30,1,0.9882,0.9883,-0.0001,No
Bi-LSTM,2008_Financial_Crisis,30,1,0.9672,0.9883,-0.0211,No
PatchTST,2008_Financial_Crisis,30,1,0.2177,0.9883,-0.7706,No
Mamba,2008_Financial_Crisis,30,1,0.9784,0.9883,-0.0099,No
SNN,2008_Financial_Crisis,30,1,0.3882,0.9883,-0.6001,No
Bi-RNN,2008_Financial_Crisis,30,1,0.9806,0.9883,-0.0077,No
Bi-GRU,2008_Financial_Crisis,30,1,0.9838,0.9883,-0.0045,No
Bi-LSTM,2008_Financial_Crisis,30,1,0.974,0.9883,-0.0143,No
PatchTST,2008_Financial_Crisis,30,1,0.7389,0.9883,-0.2494,No
Mamba,2008_Financial_Crisis,30,1,0.9628,0.9883,-0.0255,No
SNN,2008_Financial_Crisis,30,1,0.8664,0.9883,-0.1219,No
Bi-RNN,2008_Financial_Crisis,30,5,0.9468,0.9603,-0.0135,No
Bi-GRU,2008_Financial_Crisis,30,5,0.943,0.9603,-0.0174,No
Bi-LSTM,2008_Financial_Crisis,30,5,0.9457,0.9603,-0.0146,No
PatchTST,2008_Financial_Crisis,30,5,0.6089,0.9603,-0.3514,No
Mamba,2008_Financial_Crisis,30,5,0.8932,0.9603,-0.0671,No
SNN,2008_Financial_Crisis,30,5,0.8991,0.9603,-0.0612,No
Bi-RNN,2008_Financial_Crisis,30,5,0.8891,0.9603,-0.0713,No
Bi-GRU,2008_Financial_Crisis,30,5,0.9349,0.9603,-0.0254,No
Bi-LSTM,2008_Financial_Crisis,30,5,0.9194,0.9603,-0.041,No
PatchTST,2008_Financial_Crisis,30,5,0.8779,0.9603,-0.0824,No
Mamba,2008_Financial_Crisis,30,5,0.9189,0.9603,-0.0414,No
SNN,2008_Financial_Crisis,30,5,0.8638,0.9603,-0.0965,No
Bi-RNN,2008_Financial_Crisis,30,10,0.8656,0.9289,-0.0633,No
Bi-GRU,2008_Financial_Crisis,30,10,0.9068,0.9289,-0.0222,No
Bi-LSTM,2008_Financial_Crisis,30,10,0.9025,0.9289,-0.0264,No
PatchTST,2008_Financial_Crisis,30,10,-0.4109,0.9289,-1.3399,No
Mamba,2008_Financial_Crisis,30,10,0.8859,0.9289,-0.043,No
SNN,2008_Financial_Crisis,30,10,0.8345,0.9289,-0.0944,No
Bi-RNN,2008_Financial_Crisis,30,10,0.9192,0.9289,-0.0097,No
Bi-GRU,2008_Financial_Crisis,30,10,0.9128,0.9289,-0.0161,No
Bi-LSTM,2008_Financial_Crisis,30,10,0.8859,0.9289,-0.043,No
PatchTST,2008_Financial_Crisis,30,10,0.7242,0.9289,-0.2047,No
Mamba,2008_Financial_Crisis,30,10,0.8534,0.9289,-0.0755,No
SNN,2008_Financial_Crisis,30,10,0.7823,0.9289,-0.1467,No
Bi-RNN,2008_Financial_Crisis,60,1,0.983,0.9887,-0.0058,No
Bi-GRU,2008_Financial_Crisis,60,1,0.9859,0.9887,-0.0028,No
Bi-LSTM,2008_Financial_Crisis,60,1,0.9751,0.9887,-0.0136,No
PatchTST,2008_Financial_Crisis,60,1,0.0846,0.9887,-0.9041,No
Mamba,2008_Financial_Crisis,60,1,0.9865,0.9887,-0.0022,No
SNN,2008_Financial_Crisis,60,1,0.8543,0.9887,-0.1344,No
Bi-RNN,2008_Financial_Crisis,60,1,0.9828,0.9887,-0.006,No
Bi-GRU,2008_Financial_Crisis,60,1,0.9817,0.9887,-0.007,No
Bi-LSTM,2008_Financial_Crisis,60,1,0.9674,0.9887,-0.0213,No
PatchTST,2008_Financial_Crisis,60,1,0.8135,0.9887,-0.1752,No
Mamba,2008_Financial_Crisis,60,1,0.9729,0.9887,-0.0159,No
SNN,2008_Financial_Crisis,60,1,0.7745,0.9887,-0.2142,No
Bi-RNN,2008_Financial_Crisis,60,5,0.9502,0.9616,-0.0114,No
Bi-GRU,2008_Financial_Crisis,60,5,0.9337,0.9616,-0.028,No
Bi-LSTM,2008_Financial_Crisis,60,5,0.9456,0.9616,-0.0161,No
PatchTST,2008_Financial_Crisis,60,5,-1.5284,0.9616,-2.4901,No
Mamba,2008_Financial_Crisis,60,5,0.9427,0.9616,-0.0189,No
SNN,2008_Financial_Crisis,60,5,0.744,0.9616,-0.2177,No
Bi-RNN,2008_Financial_Crisis,60,5,0.9461,0.9616,-0.0156,No
Bi-GRU,2008_Financial_Crisis,60,5,0.9325,0.9616,-0.0292,No
Bi-LSTM,2008_Financial_Crisis,60,5,0.7814,0.9616,-0.1802,No
PatchTST,2008_Financial_Crisis,60,5,0.7421,0.9616,-0.2195,No
Mamba,2008_Financial_Crisis,60,5,0.9237,0.9616,-0.038,No
SNN,2008_Financial_Crisis,60,5,0.7492,0.9616,-0.2125,No
Bi-RNN,2008_Financial_Crisis,60,10,0.9145,0.9287,-0.0142,No
Bi-GRU,2008_Financial_Crisis,60,10,0.8733,0.9287,-0.0554,No
Bi-LSTM,2008_Financial_Crisis,60,10,0.8544,0.9287,-0.0743,No
PatchTST,2008_Financial_Crisis,60,10,0.634,0.9287,-0.2947,No
Mamba,2008_Financial_Crisis,60,10,0.8785,0.9287,-0.0503,No
SNN,2008_Financial_Crisis,60,10,0.1063,0.9287,-0.8224,No
Bi-RNN,2008_Financial_Crisis,60,10,0.9001,0.9287,-0.0286,No
Bi-GRU,2008_Financial_Crisis,60,10,0.8596,0.9287,-0.0691,No
Bi-LSTM,2008_Financial_Crisis,60,10,0.8937,0.9287,-0.035,No
PatchTST,2008_Financial_Crisis,60,10,0.6494,0.9287,-0.2793,No
Mamba,2008_Financial_Crisis,60,10,0.8387,0.9287,-0.09,No
SNN,2008_Financial_Crisis,60,10,0.6709,0.9287,-0.2578,No
Bi-RNN,2008_Financial_Crisis,90,1,0.9785,0.9898,-0.0114,No
Bi-GRU,2008_Financial_Crisis,90,1,0.9873,0.9898,-0.0025,No
Bi-LSTM,2008_Financial_Crisis,90,1,0.98,0.9898,-0.0098,No
PatchTST,2008_Financial_Crisis,90,1,-0.2849,0.9898,-1.2747,No
Mamba,2008_Financial_Crisis,90,1,0.9826,0.9898,-0.0073,No
SNN,2008_Financial_Crisis,90,1,-0.835,0.9898,-1.8249,No
Bi-RNN,2008_Financial_Crisis,90,1,0.9842,0.9898,-0.0057,No
Bi-GRU,2008_Financial_Crisis,90,1,0.9805,0.9898,-0.0094,No
Bi-LSTM,2008_Financial_Crisis,90,1,0.9658,0.9898,-0.024,No
PatchTST,2008_Financial_Crisis,90,1,0.7364,0.9898,-0.2534,No
Mamba,2008_Financial_Crisis,90,1,0.9701,0.9898,-0.0197,No
SNN,2008_Financial_Crisis,90,1,0.7219,0.9898,-0.2679,No
Bi-RNN,2008_Financial_Crisis,90,5,0.945,0.9624,-0.0175,No
Bi-GRU,2008_Financial_Crisis,90,5,0.9591,0.9624,-0.0033,No
Bi-LSTM,2008_Financial_Crisis,90,5,0.946,0.9624,-0.0164,No
PatchTST,2008_Financial_Crisis,90,5,-0.3405,0.9624,-1.303,No
Mamba,2008_Financial_Crisis,90,5,0.9579,0.9624,-0.0046,No
SNN,2008_Financial_Crisis,90,5,0.7221,0.9624,-0.2403,No
Bi-RNN,2008_Financial_Crisis,90,5,0.9394,0.9624,-0.023,No
Bi-GRU,2008_Financial_Crisis,90,5,0.8841,0.9624,-0.0783,No
Bi-LSTM,2008_Financial_Crisis,90,5,0.9047,0.9624,-0.0577,No
PatchTST,2008_Financial_Crisis,90,5,0.5913,0.9624,-0.3711,No
Mamba,2008_Financial_Crisis,90,5,0.7755,0.9624,-0.1869,No
SNN,2008_Financial_Crisis,90,5,0.6323,0.9624,-0.3301,No
Bi-RNN,2008_Financial_Crisis,90,10,0.8786,0.9296,-0.0511,No
Bi-GRU,2008_Financial_Crisis,90,10,0.9007,0.9296,-0.029,No
Bi-LSTM,2008_Financial_Crisis,90,10,0.9088,0.9296,-0.0209,No
PatchTST,2008_Financial_Crisis,90,10,0.4328,0.9296,-0.4968,No
Mamba,2008_Financial_Crisis,90,10,0.9196,0.9296,-0.01,No
SNN,2008_Financial_Crisis,90,10,0.2021,0.9296,-0.7275,No
Bi-RNN,2008_Financial_Crisis,90,10,0.6539,0.9296,-0.2758,No
Bi-GRU,2008_Financial_Crisis,90,10,0.8881,0.9296,-0.0416,No
Bi-LSTM,2008_Financial_Crisis,90,10,0.8965,0.9296,-0.0332,No
PatchTST,2008_Financial_Crisis,90,10,0.3736,0.9296,-0.5561,No
Mamba,2008_Financial_Crisis,90,10,0.8073,0.9296,-0.1224,No
SNN,2008_Financial_Crisis,90,10,0.255,0.9296,-0.6747,No
Bi-RNN,2008_Financial_Crisis,120,1,0.9783,0.9897,-0.0114,No
Bi-GRU,2008_Financial_Crisis,120,1,0.984,0.9897,-0.0057,No
Bi-LSTM,2008_Financial_Crisis,120,1,0.9644,0.9897,-0.0253,No
PatchTST,2008_Financial_Crisis,120,1,0.4038,0.9897,-0.5859,No
Mamba,2008_Financial_Crisis,120,1,0.9763,0.9897,-0.0134,No
SNN,2008_Financial_Crisis,120,1,0.8631,0.9897,-0.1266,No
Bi-RNN,2008_Financial_Crisis,120,1,0.9829,0.9897,-0.0068,No
Bi-GRU,2008_Financial_Crisis,120,1,0.9783,0.9897,-0.0114,No
Bi-LSTM,2008_Financial_Crisis,120,1,0.9657,0.9897,-0.024,No
PatchTST,2008_Financial_Crisis,120,1,0.3423,0.9897,-0.6474,No
Mamba,2008_Financial_Crisis,120,1,0.9345,0.9897,-0.0553,No
SNN,2008_Financial_Crisis,120,1,0.7517,0.9897,-0.238,No
Bi-RNN,2008_Financial_Crisis,120,5,0.9106,0.9623,-0.0517,No
Bi-GRU,2008_Financial_Crisis,120,5,0.9506,0.9623,-0.0118,No
Bi-LSTM,2008_Financial_Crisis,120,5,0.9547,0.9623,-0.0076,No
PatchTST,2008_Financial_Crisis,120,5,-1.2898,0.9623,-2.2521,No
Mamba,2008_Financial_Crisis,120,5,0.9362,0.9623,-0.0261,No
SNN,2008_Financial_Crisis,120,5,0.716,0.9623,-0.2463,No
Bi-RNN,2008_Financial_Crisis,120,5,0.953,0.9623,-0.0093,No
Bi-GRU,2008_Financial_Crisis,120,5,0.8896,0.9623,-0.0727,No
Bi-LSTM,2008_Financial_Crisis,120,5,0.9191,0.9623,-0.0432,No
PatchTST,2008_Financial_Crisis,120,5,-0.0197,0.9623,-0.982,No
Mamba,2008_Financial_Crisis,120,5,0.942,0.9623,-0.0203,No
SNN,2008_Financial_Crisis,120,5,0.6938,0.9623,-0.2685,No
Bi-RNN,2008_Financial_Crisis,120,10,0.8979,0.9293,-0.0314,No
Bi-GRU,2008_Financial_Crisis,120,10,0.9028,0.9293,-0.0265,No
Bi-LSTM,2008_Financial_Crisis,120,10,0.8988,0.9293,-0.0305,No
PatchTST,2008_Financial_Crisis,120,10,0.5968,0.9293,-0.3325,No
Mamba,2008_Financial_Crisis,120,10,0.904,0.9293,-0.0253,No
SNN,2008_Financial_Crisis,120,10,0.6159,0.9293,-0.3134,No
Bi-RNN,2008_Financial_Crisis,120,10,0.9198,0.9293,-0.0095,No
Bi-GRU,2008_Financial_Crisis,120,10,0.7532,0.9293,-0.1761,No
Bi-LSTM,2008_Financial_Crisis,120,10,0.9051,0.9293,-0.0242,No
PatchTST,2008_Financial_Crisis,120,10,0.2145,0.9293,-0.7147,No
Mamba,2008_Financial_Crisis,120,10,0.6731,0.9293,-0.2562,No
SNN,2008_Financial_Crisis,120,10,0.7134,0.9293,-0.2159,No
Bi-RNN,2008_Financial_Crisis,252,1,-0.6575,0.9899,-1.6475,No
Bi-GRU,2008_Financial_Crisis,252,1,0.9865,0.9899,-0.0034,No
Bi-LSTM,2008_Financial_Crisis,252,1,0.9785,0.9899,-0.0115,No
PatchTST,2008_Financial_Crisis,252,1,0.4589,0.9899,-0.5311,No
Mamba,2008_Financial_Crisis,252,1,0.9644,0.9899,-0.0255,No
SNN,2008_Financial_Crisis,252,1,0.8064,0.9899,-0.1835,No
Bi-RNN,2008_Financial_Crisis,252,1,0.9826,0.9899,-0.0074,No
Bi-GRU,2008_Financial_Crisis,252,1,0.9803,0.9899,-0.0097,No
Bi-LSTM,2008_Financial_Crisis,252,1,0.9028,0.9899,-0.0871,No
PatchTST,2008_Financial_Crisis,252,1,0.5316,0.9899,-0.4583,No
Mamba,2008_Financial_Crisis,252,1,0.9811,0.9899,-0.0088,No
SNN,2008_Financial_Crisis,252,1,0.5704,0.9899,-0.4196,No
Bi-RNN,2008_Financial_Crisis,252,5,0.9241,0.963,-0.0389,No
Bi-GRU,2008_Financial_Crisis,252,5,0.9551,0.963,-0.0079,No
Bi-LSTM,2008_Financial_Crisis,252,5,0.9527,0.963,-0.0104,No
PatchTST,2008_Financial_Crisis,252,5,-0.8694,0.963,-1.8324,No
Mamba,2008_Financial_Crisis,252,5,0.9363,0.963,-0.0268,No
SNN,2008_Financial_Crisis,252,5,0.7119,0.963,-0.2512,No
Bi-RNN,2008_Financial_Crisis,252,5,0.9474,0.963,-0.0156,No
Bi-GRU,2008_Financial_Crisis,252,5,0.9343,0.963,-0.0287,No
Bi-LSTM,2008_Financial_Crisis,252,5,0.866,0.963,-0.097,No
PatchTST,2008_Financial_Crisis,252,5,0.1904,0.963,-0.7727,No
Mamba,2008_Financial_Crisis,252,5,0.9297,0.963,-0.0333,No
SNN,2008_Financial_Crisis,252,5,0.4076,0.963,-0.5555,No
Bi-RNN,2008_Financial_Crisis,252,10,-0.6174,0.9303,-1.5477,No
Bi-GRU,2008_Financial_Crisis,252,10,0.9,0.9303,-0.0303,No
Bi-LSTM,2008_Financial_Crisis,252,10,0.9385,0.9303,0.0082,Yes
PatchTST,2008_Financial_Crisis,252,10,-0.1663,0.9303,-1.0965,No
Mamba,2008_Financial_Crisis,252,10,0.9213,0.9303,-0.0089,No
SNN,2008_Financial_Crisis,252,10,0.7288,0.9303,-0.2015,No
Bi-RNN,2008_Financial_Crisis,252,10,0.9015,0.9303,-0.0287,No
Bi-GRU,2008_Financial_Crisis,252,10,0.8648,0.9303,-0.0654,No
Bi-LSTM,2008_Financial_Crisis,252,10,0.8832,0.9303,-0.0471,No
PatchTST,2008_Financial_Crisis,252,10,0.3716,0.9303,-0.5586,No
Mamba,2008_Financial_Crisis,252,10,0.8714,0.9303,-0.0589,No
SNN,2008_Financial_Crisis,252,10,0.3498,0.9303,-0.5805,No
Bi-RNN,2010_Euro_Debt_Crisis,30,1,0.9724,0.9738,-0.0013,No
Bi-GRU,2010_Euro_Debt_Crisis,30,1,0.9702,0.9738,-0.0036,No
Bi-LSTM,2010_Euro_Debt_Crisis,30,1,0.9545,0.9738,-0.0193,No
PatchTST,2010_Euro_Debt_Crisis,30,1,-0.0361,0.9738,-1.0098,No
Mamba,2010_Euro_Debt_Crisis,30,1,0.9669,0.9738,-0.0068,No
SNN,2010_Euro_Debt_Crisis,30,1,0.9202,0.9738,-0.0535,No
Bi-RNN,2010_Euro_Debt_Crisis,30,1,0.973,0.9738,-0.0008,No
Bi-GRU,2010_Euro_Debt_Crisis,30,1,0.9704,0.9738,-0.0034,No
Bi-LSTM,2010_Euro_Debt_Crisis,30,1,0.9682,0.9738,-0.0055,No
PatchTST,2010_Euro_Debt_Crisis,30,1,0.8603,0.9738,-0.1135,No
Mamba,2010_Euro_Debt_Crisis,30,1,0.9739,0.9738,0.0002,Yes
SNN,2010_Euro_Debt_Crisis,30,1,0.834,0.9738,-0.1398,No
Bi-RNN,2010_Euro_Debt_Crisis,30,5,0.8718,0.8711,0.0008,Yes
Bi-GRU,2010_Euro_Debt_Crisis,30,5,0.8963,0.8711,0.0253,Yes
Bi-LSTM,2010_Euro_Debt_Crisis,30,5,0.8975,0.8711,0.0264,Yes
PatchTST,2010_Euro_Debt_Crisis,30,5,-1.6194,0.8711,-2.4904,No
Mamba,2010_Euro_Debt_Crisis,30,5,0.8699,0.8711,-0.0012,No
SNN,2010_Euro_Debt_Crisis,30,5,0.8595,0.8711,-0.0116,No
Bi-RNN,2010_Euro_Debt_Crisis,30,5,0.8736,0.8711,0.0026,Yes
Bi-GRU,2010_Euro_Debt_Crisis,30,5,0.8749,0.8711,0.0038,Yes
Bi-LSTM,2010_Euro_Debt_Crisis,30,5,0.872,0.8711,0.0009,Yes
PatchTST,2010_Euro_Debt_Crisis,30,5,0.5973,0.8711,-0.2737,No
Mamba,2010_Euro_Debt_Crisis,30,5,0.876,0.8711,0.005,Yes
SNN,2010_Euro_Debt_Crisis,30,5,0.7352,0.8711,-0.1359,No
Bi-RNN,2010_Euro_Debt_Crisis,30,10,0.8263,0.7696,0.0567,Yes
Bi-GRU,2010_Euro_Debt_Crisis,30,10,0.8322,0.7696,0.0626,Yes
Bi-LSTM,2010_Euro_Debt_Crisis,30,10,0.7475,0.7696,-0.0221,No
PatchTST,2010_Euro_Debt_Crisis,30,10,-0.606,0.7696,-1.3756,No
Mamba,2010_Euro_Debt_Crisis,30,10,0.7995,0.7696,0.0299,Yes
SNN,2010_Euro_Debt_Crisis,30,10,0.7523,0.7696,-0.0173,No
Bi-RNN,2010_Euro_Debt_Crisis,30,10,0.7681,0.7696,-0.0015,No
Bi-GRU,2010_Euro_Debt_Crisis,30,10,0.7524,0.7696,-0.0172,No
Bi-LSTM,2010_Euro_Debt_Crisis,30,10,0.7462,0.7696,-0.0234,No
PatchTST,2010_Euro_Debt_Crisis,30,10,0.6742,0.7696,-0.0954,No
Mamba,2010_Euro_Debt_Crisis,30,10,0.7617,0.7696,-0.0079,No
SNN,2010_Euro_Debt_Crisis,30,10,0.6699,0.7696,-0.0997,No
Bi-RNN,2010_Euro_Debt_Crisis,60,1,0.9418,0.975,-0.0332,No
Bi-GRU,2010_Euro_Debt_Crisis,60,1,0.9673,0.975,-0.0076,No
Bi-LSTM,2010_Euro_Debt_Crisis,60,1,0.9742,0.975,-0.0008,No
PatchTST,2010_Euro_Debt_Crisis,60,1,-0.9066,0.975,-1.8816,No
Mamba,2010_Euro_Debt_Crisis,60,1,0.9668,0.975,-0.0082,No
SNN,2010_Euro_Debt_Crisis,60,1,0.8472,0.975,-0.1278,No
Bi-RNN,2010_Euro_Debt_Crisis,60,1,0.9747,0.975,-0.0003,No
Bi-GRU,2010_Euro_Debt_Crisis,60,1,0.9744,0.975,-0.0006,No
Bi-LSTM,2010_Euro_Debt_Crisis,60,1,0.972,0.975,-0.003,No
PatchTST,2010_Euro_Debt_Crisis,60,1,0.8831,0.975,-0.0919,No
Mamba,2010_Euro_Debt_Crisis,60,1,0.9674,0.975,-0.0076,No
SNN,2010_Euro_Debt_Crisis,60,1,0.7097,0.975,-0.2653,No
Bi-RNN,2010_Euro_Debt_Crisis,60,5,0.8854,0.8786,0.0069,Yes
Bi-GRU,2010_Euro_Debt_Crisis,60,5,0.826,0.8786,-0.0526,No
Bi-LSTM,2010_Euro_Debt_Crisis,60,5,0.8738,0.8786,-0.0048,No
PatchTST,2010_Euro_Debt_Crisis,60,5,-0.5849,0.8786,-1.4635,No
Mamba,2010_Euro_Debt_Crisis,60,5,0.8778,0.8786,-0.0007,No
SNN,2010_Euro_Debt_Crisis,60,5,0.7414,0.8786,-0.1371,No
Bi-RNN,2010_Euro_Debt_Crisis,60,5,0.8737,0.8786,-0.0049,No
Bi-GRU,2010_Euro_Debt_Crisis,60,5,0.8774,0.8786,-0.0012,No
Bi-LSTM,2010_Euro_Debt_Crisis,60,5,0.8655,0.8786,-0.013,No
PatchTST,2010_Euro_Debt_Crisis,60,5,0.7981,0.8786,-0.0805,No
Mamba,2010_Euro_Debt_Crisis,60,5,0.8691,0.8786,-0.0095,No
SNN,2010_Euro_Debt_Crisis,60,5,0.7187,0.8786,-0.1599,No
Bi-RNN,2010_Euro_Debt_Crisis,60,10,0.8295,0.7837,0.0457,Yes
Bi-GRU,2010_Euro_Debt_Crisis,60,10,0.8179,0.7837,0.0342,Yes
Bi-LSTM,2010_Euro_Debt_Crisis,60,10,0.8056,0.7837,0.0219,Yes
PatchTST,2010_Euro_Debt_Crisis,60,10,-0.568,0.7837,-1.3517,No
Mamba,2010_Euro_Debt_Crisis,60,10,0.8187,0.7837,0.0349,Yes
SNN,2010_Euro_Debt_Crisis,60,10,0.7011,0.7837,-0.0826,No
Bi-RNN,2010_Euro_Debt_Crisis,60,10,0.766,0.7837,-0.0178,No
Bi-GRU,2010_Euro_Debt_Crisis,60,10,0.7452,0.7837,-0.0385,No
Bi-LSTM,2010_Euro_Debt_Crisis,60,10,0.7186,0.7837,-0.0652,No
PatchTST,2010_Euro_Debt_Crisis,60,10,0.6848,0.7837,-0.0989,No
Mamba,2010_Euro_Debt_Crisis,60,10,0.7422,0.7837,-0.0415,No
SNN,2010_Euro_Debt_Crisis,60,10,0.6214,0.7837,-0.1624,No
Bi-RNN,2010_Euro_Debt_Crisis,90,1,0.9713,0.9749,-0.0036,No
Bi-GRU,2010_Euro_Debt_Crisis,90,1,0.9727,0.9749,-0.0022,No
Bi-LSTM,2010_Euro_Debt_Crisis,90,1,0.9654,0.9749,-0.0095,No
PatchTST,2010_Euro_Debt_Crisis,90,1,0.0957,0.9749,-0.8792,No
Mamba,2010_Euro_Debt_Crisis,90,1,0.9686,0.9749,-0.0063,No
SNN,2010_Euro_Debt_Crisis,90,1,0.755,0.9749,-0.2199,No
Bi-RNN,2010_Euro_Debt_Crisis,90,1,0.9734,0.9749,-0.0015,No
Bi-GRU,2010_Euro_Debt_Crisis,90,1,0.9737,0.9749,-0.0012,No
Bi-LSTM,2010_Euro_Debt_Crisis,90,1,0.9707,0.9749,-0.0042,No
PatchTST,2010_Euro_Debt_Crisis,90,1,0.8142,0.9749,-0.1607,No
Mamba,2010_Euro_Debt_Crisis,90,1,0.9726,0.9749,-0.0024,No
SNN,2010_Euro_Debt_Crisis,90,1,0.7285,0.9749,-0.2465,No
Bi-RNN,2010_Euro_Debt_Crisis,90,5,0.8885,0.8798,0.0086,Yes
Bi-GRU,2010_Euro_Debt_Crisis,90,5,0.8671,0.8798,-0.0127,No
Bi-LSTM,2010_Euro_Debt_Crisis,90,5,0.8896,0.8798,0.0098,Yes
PatchTST,2010_Euro_Debt_Crisis,90,5,-3.7933,0.8798,-4.6732,No
Mamba,2010_Euro_Debt_Crisis,90,5,0.8428,0.8798,-0.0371,No
SNN,2010_Euro_Debt_Crisis,90,5,0.706,0.8798,-0.1739,No
Bi-RNN,2010_Euro_Debt_Crisis,90,5,0.8767,0.8798,-0.0031,No
Bi-GRU,2010_Euro_Debt_Crisis,90,5,0.876,0.8798,-0.0039,No
Bi-LSTM,2010_Euro_Debt_Crisis,90,5,0.8654,0.8798,-0.0145,No
PatchTST,2010_Euro_Debt_Crisis,90,5,0.7555,0.8798,-0.1243,No
Mamba,2010_Euro_Debt_Crisis,90,5,0.8762,0.8798,-0.0036,No
SNN,2010_Euro_Debt_Crisis,90,5,0.6257,0.8798,-0.2541,No
Bi-RNN,2010_Euro_Debt_Crisis,90,10,0.8285,0.7841,0.0444,Yes
Bi-GRU,2010_Euro_Debt_Crisis,90,10,0.8328,0.7841,0.0487,Yes
Bi-LSTM,2010_Euro_Debt_Crisis,90,10,0.7919,0.7841,0.0078,Yes
PatchTST,2010_Euro_Debt_Crisis,90,10,0.3807,0.7841,-0.4034,No
Mamba,2010_Euro_Debt_Crisis,90,10,0.8015,0.7841,0.0174,Yes
SNN,2010_Euro_Debt_Crisis,90,10,0.5205,0.7841,-0.2635,No
Bi-RNN,2010_Euro_Debt_Crisis,90,10,0.7652,0.7841,-0.0189,No
Bi-GRU,2010_Euro_Debt_Crisis,90,10,0.7651,0.7841,-0.0189,No
Bi-LSTM,2010_Euro_Debt_Crisis,90,10,0.7398,0.7841,-0.0443,No
PatchTST,2010_Euro_Debt_Crisis,90,10,0.4364,0.7841,-0.3477,No
Mamba,2010_Euro_Debt_Crisis,90,10,0.7622,0.7841,-0.0219,No
SNN,2010_Euro_Debt_Crisis,90,10,0.5285,0.7841,-0.2556,No
Bi-RNN,2010_Euro_Debt_Crisis,120,1,0.9656,0.9753,-0.0097,No
Bi-GRU,2010_Euro_Debt_Crisis,120,1,0.9448,0.9753,-0.0305,No
Bi-LSTM,2010_Euro_Debt_Crisis,120,1,0.9603,0.9753,-0.015,No
PatchTST,2010_Euro_Debt_Crisis,120,1,0.6163,0.9753,-0.359,No
Mamba,2010_Euro_Debt_Crisis,120,1,0.9669,0.9753,-0.0084,No
SNN,2010_Euro_Debt_Crisis,120,1,-0.6001,0.9753,-1.5754,No
Bi-RNN,2010_Euro_Debt_Crisis,120,1,0.9695,0.9753,-0.0058,No
Bi-GRU,2010_Euro_Debt_Crisis,120,1,0.9727,0.9753,-0.0026,No
Bi-LSTM,2010_Euro_Debt_Crisis,120,1,0.9712,0.9753,-0.0041,No
