Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,60,10,Bi-RNN,2022_Rate_Hike,0.028169337660074234,0.5321328639984131,0.03419552334013867,242
SP500,60,10,Bi-GRU,2022_Rate_Hike,0.0378040187060833,0.1720389723777771,0.04548968252772907,242
SP500,60,10,Bi-LSTM,2022_Rate_Hike,0.03394732624292374,0.3227751851081848,0.04114095663619036,242
SP500,60,10,PatchTST,2022_Rate_Hike,0.07542375475168228,-1.8588016033172607,0.08452787964601316,242
SP500,60,10,Mamba,2022_Rate_Hike,0.028032436966896057,0.5374212265014648,0.03400171470591369,242
SP500,60,10,SNN,2022_Rate_Hike,0.04031305015087128,0.01316291093826294,0.04966274304487707,242
SP500,60,10,Ensemble,2022_Rate_Hike,0.030855052173137665,0.4344257712364197,0.03759696421048257,242
SP500,90,1,ARIMA,2022_Rate_Hike,0.00917163326852311,0.9526531852725275,0.011706076539896118,251
SP500,90,1,Bi-RNN,2022_Rate_Hike,0.014780196361243725,0.884600818157196,0.018275419555136452,251
SP500,90,1,Bi-GRU,2022_Rate_Hike,0.018658388406038284,0.8136512637138367,0.023223583705820186,251
SP500,90,1,Bi-LSTM,2022_Rate_Hike,0.016958214342594147,0.849552571773529,0.020866921259550173,251
SP500,90,1,PatchTST,2022_Rate_Hike,0.07802651822566986,-1.6032254695892334,0.08680043132545444,251
SP500,90,1,Mamba,2022_Rate_Hike,0.011871250346302986,0.9288805723190308,0.014346965352211482,251
SP500,90,1,SNN,2022_Rate_Hike,0.030461110174655914,0.516172468662262,0.03742064571053862,251
SP500,90,1,Ensemble,2022_Rate_Hike,0.018871938809752464,0.8054684400558472,0.023727993482841683,251
SP500,90,5,ARIMA,2022_Rate_Hike,0.02011351807684906,0.7851458144410365,0.024936637105168913,251
SP500,90,5,Bi-RNN,2022_Rate_Hike,0.020450718700885773,0.7613126039505005,0.025404478154518503,247
SP500,90,5,Bi-GRU,2022_Rate_Hike,0.02226278930902481,0.727907657623291,0.027123997642786377,247
SP500,90,5,Bi-LSTM,2022_Rate_Hike,0.02497931756079197,0.6562213897705078,0.030488423726532776,247
SP500,90,5,PatchTST,2022_Rate_Hike,0.08438003808259964,-2.1369271278381348,0.09209748010941722,247
SP500,90,5,Mamba,2022_Rate_Hike,0.020379815250635147,0.7537165284156799,0.02580555267995654,247
SP500,90,5,SNN,2022_Rate_Hike,0.05422476679086685,-0.44797515869140625,0.06257142887769944,247
SP500,90,5,Ensemble,2022_Rate_Hike,0.021726040169596672,0.7385790348052979,0.026586780468944006,247
SP500,90,10,ARIMA,2022_Rate_Hike,0.0282957632522115,0.592633738577322,0.03433669608800003,251
SP500,90,10,Bi-RNN,2022_Rate_Hike,0.03260170668363571,0.3634603023529053,0.039886020754134256,242
SP500,90,10,Bi-GRU,2022_Rate_Hike,0.035766374319791794,0.2616349458694458,0.04295794800967073,242
SP500,90,10,Bi-LSTM,2022_Rate_Hike,0.026527877897024155,0.5968103408813477,0.03174407429278341,242
SP500,90,10,PatchTST,2022_Rate_Hike,0.07706506550312042,-1.9504034519195557,0.0858714245236838,242
SP500,90,10,Mamba,2022_Rate_Hike,0.0275473240762949,0.5517023801803589,0.033472735390406544,242
SP500,90,10,SNN,2022_Rate_Hike,0.030223777517676353,0.4738367199897766,0.03626337497807633,242
SP500,90,10,Ensemble,2022_Rate_Hike,0.02986365742981434,0.4620234966278076,0.03666820198272217,242
SP500,120,1,ARIMA,2022_Rate_Hike,0.009125300405642677,0.9531618053736428,0.0116430308809213,251
SP500,120,1,Bi-RNN,2022_Rate_Hike,0.013861473649740219,0.8952187299728394,0.017414372536963568,251
SP500,120,1,Bi-GRU,2022_Rate_Hike,0.017925448715686798,0.8266082406044006,0.02240166020576941,251
SP500,120,1,Bi-LSTM,2022_Rate_Hike,0.02475515939295292,0.6690611839294434,0.030948519250992696,251
SP500,120,1,PatchTST,2022_Rate_Hike,0.08208667486906052,-1.7578949928283691,0.0893418348573446,251
SP500,120,1,Mamba,2022_Rate_Hike,0.012752299197018147,0.9186295866966248,0.015346143539001099,251
SP500,120,1,SNN,2022_Rate_Hike,0.03760262578725815,0.2634841203689575,0.04616969941349996,251
SP500,120,1,Ensemble,2022_Rate_Hike,0.017135677859187126,0.8427190184593201,0.021335563952915245,251
SP500,120,5,ARIMA,2022_Rate_Hike,0.019997202498713954,0.7876783503046337,0.02478923450255917,251
SP500,120,5,Bi-RNN,2022_Rate_Hike,0.020559482276439667,0.7626702785491943,0.02533212442241231,247
SP500,120,5,Bi-GRU,2022_Rate_Hike,0.02982873097062111,0.5053317546844482,0.036572322157853034,247
SP500,120,5,Bi-LSTM,2022_Rate_Hike,0.023830749094486237,0.6927046775817871,0.0288252792288035,247
SP500,120,5,PatchTST,2022_Rate_Hike,0.07853814214468002,-1.7877492904663086,0.0868205199323689,247
SP500,120,5,Mamba,2022_Rate_Hike,0.020264485850930214,0.7690308094024658,0.02499036333126114,247
SP500,120,5,SNN,2022_Rate_Hike,0.02577252686023712,0.6463945508003235,0.03092110494141029,247
SP500,120,5,Ensemble,2022_Rate_Hike,0.02384692244231701,0.6746643781661987,0.02965932790867338,247
SP500,120,10,ARIMA,2022_Rate_Hike,0.02817499765389097,0.5934978424046977,0.03430025931812777,251
SP500,120,10,Bi-RNN,2022_Rate_Hike,0.03587360680103302,0.24552464485168457,0.043424067425003064,242
SP500,120,10,Bi-GRU,2022_Rate_Hike,0.0391034372150898,0.12092733383178711,0.046872739936068115,242
SP500,120,10,Bi-LSTM,2022_Rate_Hike,0.05010667070746422,-0.390954852104187,0.058960950144175905,242
SP500,120,10,PatchTST,2022_Rate_Hike,0.09374930709600449,-3.115825653076172,0.10142299809889677,242
SP500,120,10,Mamba,2022_Rate_Hike,0.027063893154263496,0.5755937099456787,0.03256858506760757,242
SP500,120,10,SNN,2022_Rate_Hike,0.03820694983005524,0.168969988822937,0.04557391347249117,242
SP500,120,10,Ensemble,2022_Rate_Hike,0.03921741992235184,0.08227396011352539,0.047892166446596406,242
SP500,252,1,ARIMA,2022_Rate_Hike,0.009084107282431322,0.9540476848253787,0.011532399387723727,251
SP500,252,1,Bi-RNN,2022_Rate_Hike,0.013013421557843685,0.909781277179718,0.016158994579102172,251
SP500,252,1,Bi-GRU,2022_Rate_Hike,0.014640435576438904,0.8880583643913269,0.017999557591091044,251
SP500,252,1,Bi-LSTM,2022_Rate_Hike,0.022714491933584213,0.7263504266738892,0.028142544825537703,251
SP500,252,1,PatchTST,2022_Rate_Hike,0.08590995520353317,-2.223220109939575,0.09658528545208601,251
SP500,252,1,Mamba,2022_Rate_Hike,0.013438332825899124,0.9017326235771179,0.01686439047774543,251
SP500,252,1,SNN,2022_Rate_Hike,0.050203848630189896,-0.18918359279632568,0.058666537692261704,251
SP500,252,1,Ensemble,2022_Rate_Hike,0.018603667616844177,0.8157787322998047,0.023090635745834878,251
SP500,252,5,ARIMA,2022_Rate_Hike,0.01988447962960225,0.7895301492196924,0.024680896026862794,251
SP500,252,5,Bi-RNN,2022_Rate_Hike,0.05086155980825424,-0.18645358085632324,0.05663969598205567,247
